member,task_name,dataset_name,language,smells,input_type,split_protocol,seed,train_size,validation_size,test_size,model,checkpoint_selection,hardware,runtime,accuracy,precision,recall,f1,mcc,roc_auc,notes
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,FeatureEnvy,method source + containing class context + typed AST graph,70/15/15 stratified by label (repo-aware exact split unavailable),42,700,150,150,UniXCoder + AST-GAT Fusion,best validation MCC then F1,Orin,954.0s,0.686666667,0.38961039,1,0.560747664,0.486839796,0.861944444,target_smell=FeatureEnvy; PR-AUC=0.570571; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/FeatureEnvy/fusion_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,raw method source,70/15/15 stratified by label (repo-aware exact split unavailable),42,700,150,150,UniXCoder,best validation MCC then F1,Orin,1970.5s,0.96,0.875,0.933333333,0.903225806,0.878775149,0.988611111,target_smell=ComplexMethod; PR-AUC=0.935473; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/unixcoder_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,typed AST graph with member-receiver edges,70/15/15 stratified by label (repo-aware exact split unavailable),42,700,150,150,AST-GAT,best validation MCC then F1,Orin,83.5s,0.84,0.557692308,0.966666667,0.707317073,0.651385735,0.968333333,target_smell=ComplexMethod; PR-AUC=0.904785; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/ast_gat_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,raw method source + typed AST graph,70/15/15 stratified by label (repo-aware exact split unavailable),42,700,150,150,UniXCoder + AST-GAT Fusion,best validation MCC then F1,Orin,2275.9s,0.96,0.875,0.933333333,0.903225806,0.878775149,0.9875,target_smell=ComplexMethod; PR-AUC=0.942484; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/fusion_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,raw method source,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,UniXCoder,best validation MCC then F1,Orin,15633.9s,0.99,0.97979798,0.97,0.974874372,0.968651433,0.998830556,target_smell=ComplexMethod; PR-AUC=0.994437; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/unixcoder_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,typed AST graph with member-receiver edges,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,AST-GAT,best validation MCC then F1,Orin,2000.5s,0.951333333,0.853582555,0.913333333,0.882447665,0.852581832,0.98185,target_smell=ComplexMethod; PR-AUC=0.917113; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/ast_gat_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexMethod,raw method source + typed AST graph,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,UniXCoder + AST-GAT Fusion,best validation MCC then F1,Orin,11098.7s,0.982666667,0.962837838,0.95,0.956375839,0.945594304,0.998,target_smell=ComplexMethod; PR-AUC=0.991423; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexMethod/fusion_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexConditional,raw method source,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,UniXCoder,best validation MCC then F1,Orin,12044.8s,0.986666667,0.966666667,0.966666667,0.966666667,0.958333333,0.998755556,target_smell=ComplexConditional; PR-AUC=0.995555; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexConditional/unixcoder_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexConditional,typed AST graph with member-receiver edges,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,AST-GAT,best validation MCC then F1,Orin,1999.5s,0.951333333,0.853582555,0.913333333,0.882447665,0.852581832,0.981852778,target_smell=ComplexConditional; PR-AUC=0.917129; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexConditional/ast_gat_best.pt
Giang,Code smell detection via fine-tuned pretrained models,DeepLearningSmells,Java,ComplexConditional,raw method source + typed AST graph,70/15/15 stratified by label (repo-aware exact split unavailable),42,7000,1500,1500,UniXCoder + AST-GAT Fusion,best validation MCC then F1,Orin,11102.5s,0.984,0.9726027397260274,0.9466666666666667,0.9594594594594594,0.9496295299834763,0.9983805555555555,target_smell=ComplexConditional; PR-AUC=0.994733; checkpoint=/home/opesai/Downloads/CodeSmells/checkpoints/java/ComplexConditional/fusion_best.pt
